Trade Date,Buyer,Seller,Compliance Instrument Type,Jurisdiction,Contact CBM,Client Type,Protocol,Vintage Start,Vintage End,Volume,Price,Price for MtM,P&L,Currency,Comment,Fee,Note,Contract Signed,Invoice received ,Delivery Date
2023-03-16,Francis Fuels,,GCCO,Quebec,JG,Advisory,U.S. Forest Projects CAFR6391-A,2020,2020,1400.0,18.95,,,USD,OTC Direct,1000.0,,,,2023-04-30
2023-02-08,NGL Supply,Elbow River,CCO0,Quebec,JG,Advisory,"2017 – CAFR5206-C US Forest Projects, 2017 – CAFR5230-A US Forest Projects",2017,2017,41500.0,19.25,29.84,,USD,OTC Direct,65923.0,,,,2023-04-30
2023-02-08,NGL Supply,Elbow River,CCO0,Quebec,JG,Advisory,"2016 – CAFR5281-C US Forest Projects (DEBS), 2018 – CA0D6300-A Ozone Depleting Substances (DEBS)",2016;2018,2016;2018,2500.0,25.25,29.84,,USD,OTC Direct,1721.0,,,,2023-04-30
2023-02-09,Harnois,Elbow River,CCO0,Quebec,JG,Advisory,Forestry CAFR5206-C,2017,2017,12000.0,26.17,36.04,,CAD,OTC Direct,17765.0,,,,2023-04-30
2023-10-03,DuPont,Elbow River,GCCO,Quebec,AT,Advisory,MMC CAMM5674-B,2022,2022,35000.0,18.8,29.8,,USD,OTC Direct,57750.0,,,,2023-04-30
2023-10-03,DuPont,Elbow River,CCA,Quebec,AT,Advisory,,,,-35000.0,29.8,,,USD,OTC Direct,0.0,,,,2023-04-30
2023-04-13,Varenos Siluma,Belektron,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,-4000.0,91.55,,600.0,EUR,OTC ClearBlue BtB,,,,,2023-04-17
2023-04-13,Belektron,Varenos Siluma,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,4000.0,91.7,,,EUR,OTC ClearBlue BtB,,,,,2023-04-17
2023-04-19,Western Global,ACT,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,1435.0,93.51,,,EUR,OTC ClearBlue BtB,5000.0,,,,2023-04-24
2023-04-19,Carbon Killer,ACT,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,100.0,96.0,,249.0,EUR,OTC ClearBlue BtB,,,,,2023-04-24
2023-04-19,ACT,CK/Western,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,-1535.0,93.51,,,EUR,OTC ClearBlue BtB,,,,,2023-04-24
2023-03-16,Econogas,Elbow River,GCCO,Quebec,JG,Advisory,,,,1500.0,18.95,,,USD,OTC Direct,1000.0,,,,2023-04-21
2023-04-04,NGL Supply,Elbow River,CCA NS,Nova Scotia,AT,Advisory,,2023,2023,270.0,55.0,,,USD,OTC Direct,1000.0,,,,2023-04-21
2023-05-01,Carbon Killer,ACT,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,500.0,84.25,,810.0,EUR,OTC ClearBlue BtB,,,,,2023-05-04
2023-05-01,ACT,Carbon Killer,EUA,EU ETS,GP,Trading,,2021-2030,2021-2030,-500.0,85.87,,,EUR,OTC ClearBlue BtB,,,,,2023-05-04
2022-09-16,AMPL,RBC,CCO0,Quebec,JG,Advisory,,,,79040.0,20.19,30.51,,USD,OTC Direct,122354.0,,,,2023-04-27
2022-09-16,AMPL,RBC,CCA,Quebec,JG,Advisory,,,,-52305.0,30.51,,,USD,OTC Direct,0.0,,,,2023-04-27
2023-04-24,CertainTeed Corp,Capital Power,CCA,California,AT,Advisory,,,,70000.0,30.9,,,USD,OTC Direct,7000.0,,,,2023-05-31
2023-04-24,CertainTeed Corp,Capital Power,GCCO,California,AT,Advisory,California DEBS,,,3332.0,25.4,,,USD,OTC Direct,3665.0,,,,2023-05-31
2023-04-24,CertainTeed Corp,Capital Power,GCCO,California,AT,Advisory,,,,11513.0,18.85,,,USD,OTC Direct,27746.0,,,,2023-05-31
2023-07-18,Global Factor,TAM,CER,CDM,GP,Trading,CDM,,,117980.0,0.75,,17697.0,USD,OTC ClearBlue BtB,,,,,2023-07-25
2023-07-18,TEM,Global,CER,CDM,GP,Trading,CDM,,,117980.0,0.9,,,USD,OTC ClearBlue BtB,,,,,2023-07-24
2023-08-10,Geogas,Mitsui,EUA,EU ETS,GP,Trading,,,,10000.0,82.5,,2000.0,EUR,OTC ClearBlue BtB,,,,,2023-08-17
2023-07-18,Agnico Eagle,Mercuria,CCA,Quebec,AT,Advisory,,2023 or earlier,2023 or earlier,14000.0,33.8,,,USD,OTC Direct,1120.0,,,,2023-07-31
2023-07-26,Festo,Clearblue,VER,VCM,HN,Trading,VCS2307 (Solar Madagascar),2018,2018,-293.0,15.5,9.0,1904.5,USD,OTC Clearblue,,,,,2023-07-26
2023-08-09,Rayonier,BP,CCO0,Quebec,AT,Advisory,,2019,2019,35000.0,21.0,,,USD,OTC Direct,78855.0,,,,2023-08-22
2023-08-15,Arcelor Coteau du Lac,CBM -Elbow River,CCA,Quebec,JG,Advisory,,2023,2023,4000.0,36.3,,,USD,OTC ClearBlue BtB,1000.0,,,,2023-08-15
2023-08-15,Dupont,Elbow River,CCA,Quebec,JG,Advisory,,2023,2023,200000.0,35.9,,,USD,OTC Direct,20000.0,,,,2023-08-15
2023-08-16,Greenfield,Elbow River,CCA,Quebec,JG,Advisory,,2023,2023,20000.0,32.75,,,USD,OTC Direct,1200.0,,,,2023-08-29
2023-08-16,Greenfield,Elbow River,CCA,Quebec,JG,Advisory,,2023,2023,20000.0,33.25,,,USD,OTC Direct,1200.0,,,,2023-11-30
